chord_name,notes,chord_type,chord_extension
D7,"D, F#, A, C",Dominant,Dominant 7th
Db7,"Db, F, Ab, B",Dominant,Dominant 7th
E7,"E, G#, B, D",Dominant,Dominant 7th
Eb7,"Eb, G, Bb, Db",Dominant,Dominant 7th
F#7,"F#, A#, C#, E",Dominant,Dominant 7th
F7,"F, A, C, D#",Dominant,Dominant 7th
G#7,"G#, C, D#, F#",Dominant,Dominant 7th
G7,"G, B, D, F",Dominant,Dominant 7th
Gb7,"Gb, Bb, Db, E",Dominant,Dominant 7th
A#7sus4,"A#, D#, F, G#",Dominant,Dominant 7th Sus4
A7sus4,"A, D, E, G",Dominant,Dominant 7th Sus4
Ab7sus4,"Ab, Db, Eb, Gb",Dominant,Dominant 7th Sus4
B7sus4,"B, E, F#, A",Dominant,Dominant 7th Sus4
Bb7sus4,"Bb, Eb, F, Ab",Dominant,Dominant 7th Sus4
C#7sus4,"C#, F#, G#, B",Dominant,Dominant 7th Sus4
C7sus4,"C, F, G, A#",Dominant,Dominant 7th Sus4
D#7sus4,"D#, G#, A#, C#",Dominant,Dominant 7th Sus4
D7sus4,"D, G, A, C",Dominant,Dominant 7th Sus4
Db7sus4,"Db, Gb, Ab, B",Dominant,Dominant 7th Sus4
E7sus4,"E, A, B, D",Dominant,Dominant 7th Sus4
Eb7sus4,"Eb, Ab, Bb, Db",Dominant,Dominant 7th Sus4
F#7sus4,"F#, B, C#, E",Dominant,Dominant 7th Sus4
F7sus4,"F, A#, C, D#",Dominant,Dominant 7th Sus4
G#7sus4,"G#, C#, D#, F#",Dominant,Dominant 7th Sus4
G7sus4,"G, C, D, F",Dominant,Dominant 7th Sus4
Gb7sus4,"Gb, B, Db, E",Dominant,Dominant 7th Sus4
A#9,"A#, D, F, G#, C",Dominant,Dominant 9th
A9,"A, C#, E, G, B",Dominant,Dominant 9th
Ab9,"Ab, C, Eb, Gb, Bb",Dominant,Dominant 9th
B9,"B, D#, F#, A, C#",Dominant,Dominant 9th
Bb9,"Bb, D, F, Ab, C",Dominant,Dominant 9th
C#9,"C#, F, G#, B, D#",Dominant,Dominant 9th
C9,"C, E, G, A#, D",Dominant,Dominant 9th
D#9,"D#, G, A#, C#, F",Dominant,Dominant 9th
D9,"D, F#, A, C, E",Dominant,Dominant 9th
Db9,"Db, F, Ab, B, Eb",Dominant,Dominant 9th
E9,"E, G#, B, D, F#",Dominant,Dominant 9th
Eb9,"Eb, G, Bb, Db, F",Dominant,Dominant 9th
F#9,"F#, A#, C#, E, G#",Dominant,Dominant 9th
F9,"F, A, C, D#, G",Dominant,Dominant 9th
G#9,"G#, C, D#, F#, A#",Dominant,Dominant 9th
G9,"G, B, D, F, A",Dominant,Dominant 9th
Gb9,"Gb, Bb, Db, E, Ab",Dominant,Dominant 9th
A#6,"A#, D, F, G",Major,6th
A6,"A, C#, E, F#",Major,6th
Ab6,"Ab, C, Eb, F",Major,6th
B6,"B, D#, F#, G#",Major,6th
Bb6,"Bb, D, F, G",Major,6th
C#6,"C#, F, G#, A#",Major,6th
C6,"C, E, G, A",Major,6th
D#6,"D#, G, A#, C",Major,6th
D6,"D, F#, A, B",Major,6th
Db6,"Db, F, Ab, Bb",Major,6th
E6,"E, G#, B, C#",Major,6th
Eb6,"Eb, G, Bb, C",Major,6th
F#6,"F#, A#, C#, D#",Major,6th
F6,"F, A, C, D",Major,6th
G#6,"G#, C, D#, F",Major,6th
G6,"G, B, D, E",Major,6th
Gb6,"Gb, Bb, Db, Eb",Major,6th
A#maj11,"A#, D, F, A, C, D#",Major,Major 11th
Abmaj11,"Ab, C, Eb, G, Bb, Db",Major,Major 11th
Amaj11,"A, C#, E, G#, B, D",Major,Major 11th
Bbmaj11,"Bb, D, F, A, C, Eb",Major,Major 11th
Bmaj11,"B, D#, F#, A#, C#, E",Major,Major 11th
C#maj11,"C#, F, G#, C, D#, F#",Major,Major 11th
Cmaj11,"C, E, G, B, D, F",Major,Major 11th
D#maj11,"D#, G, A#, D, F, G#",Major,Major 11th
Dbmaj11,"Db, F, Ab, C, Eb, Gb",Major,Major 11th
Dmaj11,"D, F#, A, C#, E, G",Major,Major 11th
Ebmaj11,"Eb, G, Bb, D, F, Ab",Major,Major 11th
Emaj11,"E, G#, B, D#, F#, A",Major,Major 11th
F#maj11,"F#, A#, C#, F, G#, B",Major,Major 11th
Fmaj11,"F, A, C, E, G, A#",Major,Major 11th
