chord_name,notes,chord_family
G11,"G, B, D, F, A, C",Dominant
G7,"G, B, D, F",Dominant
G7sus4,"G, C, D, F",Dominant
G9,"G, B, D, F, A",Dominant
Gb11,"Gb, Bb, Db, E, Ab, B",Dominant
Gb7,"Gb, Bb, Db, E",Dominant
Gb7sus4,"Gb, B, Db, E",Dominant
Gb9,"Gb, Bb, Db, E, Ab",Dominant
A,"A, C#, E",Major
A#,"A#, D, F",Major
A#6,"A#, D, F, G",Major
A#maj11,"A#, D, F, A, C, D#",Major
A#maj7,"A#, D, F, A",Major
A#maj9,"A#, D, F, A, C",Major
A6,"A, C#, E, F#",Major
Ab,"Ab, C, Eb",Major
Ab6,"Ab, C, Eb, F",Major
Abmaj11,"Ab, C, Eb, G, Bb, Db",Major
Abmaj7,"Ab, C, Eb, G",Major
Abmaj9,"Ab, C, Eb, G, Bb",Major
Amaj11,"A, C#, E, G#, B, D",Major
Amaj7,"A, C#, E, G#",Major
Amaj9,"A, C#, E, G#, B",Major
B,"B, D#, F#",Major
B6,"B, D#, F#, G#",Major
Bb,"Bb, D, F",Major
Bb6,"Bb, D, F, G",Major
Bbmaj11,"Bb, D, F, A, C, Eb",Major
Bbmaj7,"Bb, D, F, A",Major
Bbmaj9,"Bb, D, F, A, C",Major
Bmaj11,"B, D#, F#, A#, C#, E",Major
Bmaj7,"B, D#, F#, A#",Major
Bmaj9,"B, D#, F#, A#, C#",Major
C,"C, E, G",Major
C#,"C#, F, G#",Major
C#6,"C#, F, G#, A#",Major
C#maj11,"C#, F, G#, C, D#, F#",Major
C#maj7,"C#, F, G#, C",Major
C#maj9,"C#, F, G#, C, D#",Major
C6,"C, E, G, A",Major
Cmaj11,"C, E, G, B, D, F",Major
Cmaj7,"C, E, G, B",Major
Cmaj9,"C, E, G, B, D",Major
D,"D, F#, A",Major
D#,"D#, G, A#",Major
D#6,"D#, G, A#, C",Major
D#maj11,"D#, G, A#, D, F, G#",Major
D#maj7,"D#, G, A#, D",Major
D#maj9,"D#, G, A#, D, F",Major
D6,"D, F#, A, B",Major
Db,"Db, F, Ab",Major
